code,title,code_title
23.32.00,Air Plenums and Chases,23.32.00 - Air Plenums and Chases
23.33.00,Air Duct Accessories,23.33.00 - Air Duct Accessories
23.34.00,HVAC Fans,23.34.00 - HVAC Fans
23.35.00,Special Exhaust Systems,23.35.00 - Special Exhaust Systems
23.36.00,Air Terminal Units,23.36.00 - Air Terminal Units
23.37.00,Air Outlets and Inlets,23.37.00 - Air Outlets and Inlets
23.38.00,Ventilation Hoods,23.38.00 - Ventilation Hoods
23.40.00,HVAC Air Cleaning Devices,23.40.00 - HVAC Air Cleaning Devices
23.41.00,Particulate Air Filtration,23.41.00 - Particulate Air Filtration
23.42.00,Gas-Phase Air Filtration,23.42.00 - Gas-Phase Air Filtration
23.43.00,Electronic Air Cleaners,23.43.00 - Electronic Air Cleaners
23.50.00,Central Heating Equipment,23.50.00 - Central Heating Equipment
23.51.00,"Breechings, Chimneys, and Stacks","23.51.00 - Breechings, Chimneys, and Stacks"
23.52.00,Heating Boilers,23.52.00 - Heating Boilers
23.53.00,Heating Boiler Feedwater Equipment,23.53.00 - Heating Boiler Feedwater Equipment
23.54.00,Furnaces,23.54.00 - Furnaces
23.55.00,Fuel-Fired Heaters,23.55.00 - Fuel-Fired Heaters
23.56.00,Solar Energy Heating Equipment,23.56.00 - Solar Energy Heating Equipment
23.57.00,Heat Exchangers for HVAC,23.57.00 - Heat Exchangers for HVAC
23.60.00,Central Cooling Equipment,23.60.00 - Central Cooling Equipment
23.61.00,Refrigerant Compressors,23.61.00 - Refrigerant Compressors
23.62.00,Packaged Compressor and Condenser Units,23.62.00 - Packaged Compressor and Condenser Units
23.63.00,Refrigerant Condensers,23.63.00 - Refrigerant Condensers
23.64.00,Packaged Water Chillers,23.64.00 - Packaged Water Chillers
23.65.00,Cooling Towers,23.65.00 - Cooling Towers
23.70.00,Central HVAC Equipment,23.70.00 - Central HVAC Equipment
23.71.00,Thermal Storage,23.71.00 - Thermal Storage
23.72.00,Air-to-Air Energy Recovery Equipment,23.72.00 - Air-to-Air Energy Recovery Equipment
23.73.00,Indoor Central-Station Air-Handling Units,23.73.00 - Indoor Central-Station Air-Handling Units
23.74.00,Packaged Outdoor HVAC Equipment,23.74.00 - Packaged Outdoor HVAC Equipment
23.75.00,Custom-Packaged Outdoor HVAC Equipment,23.75.00 - Custom-Packaged Outdoor HVAC Equipment
23.76.00,Evaporative Air-Cooling Equipment,23.76.00 - Evaporative Air-Cooling Equipment
23.80.00,Decentralized HVAC Equipment,23.80.00 - Decentralized HVAC Equipment
23.81.00,Decentralized Unitary HVAC Equipment,23.81.00 - Decentralized Unitary HVAC Equipment
23.82.00,Convection Heating and Cooling Units,23.82.00 - Convection Heating and Cooling Units
23.83.00,Radiant Heating Units,23.83.00 - Radiant Heating Units
23.84.00,Humidity Control Equipment,23.84.00 - Humidity Control Equipment
23.90.00,Unassigned,23.90.00 - Unassigned
25.00.00,Integrated Automation,25.00.00 - Integrated Automation
25.01.00,Operation and Maintenance of Integrated Automation,25.01.00 - Operation and Maintenance of Integrated Automation
25.05.00,Common Work Results for Integrated Automation,25.05.00 - Common Work Results for Integrated Automation
25.06.00,Schedules for Integrated Automation,25.06.00 - Schedules for Integrated Automation
25.08.00,Commissioning of Integrated Automation,25.08.00 - Commissioning of Integrated Automation
25.10.00,Integrated Automation Network Equipment,25.10.00 - Integrated Automation Network Equipment
25.11.00,Integrated Automation Network Devices,25.11.00 - Integrated Automation Network Devices
25.12.00,Integrated Automation Network Gateways,25.12.00 - Integrated Automation Network Gateways
25.13.00,Integrated Automation Control and Monitoring Network,25.13.00 - Integrated Automation Control and Monitoring Network
25.14.00,Integrated Automation Local Control Units,25.14.00 - Integrated Automation Local Control Units
25.15.00,Integrated Automation Software,25.15.00 - Integrated Automation Software
25.20.00,Unassigned,25.20.00 - Unassigned
25.30.00,Integrated Automation Instrumentation and Terminal Devices,25.30.00 - Integrated Automation Instrumentation and Terminal Devices
25.31.00,Integrated Automation Instrumentation and Terminal Devices for Facility Equipment,25.31.00 - Integrated Automation Instrumentation and Terminal Devices for Facility Equipment
25.32.00,Integrated Automation Instrumentation and Terminal Devices for Conveying Equipment,25.32.00 - Integrated Automation Instrumentation and Terminal Devices for Conveying Equipment
25.33.00,Integrated Automation Instrumentation and Terminal Devices for Fire-Suppression Systems,25.33.00 - Integrated Automation Instrumentation and Terminal Devices for Fire-Suppression Systems
25.34.00,Integrated Automation Instrumentation and Terminal Devices for Plumbing,25.34.00 - Integrated Automation Instrumentation and Terminal Devices for Plumbing
25.35.00,Integrated Automation Instrumentation and Terminal Devices for HVAC,25.35.00 - Integrated Automation Instrumentation and Terminal Devices for HVAC
25.36.00,Integrated Automation Instrumentation and Terminal Devices for Electrical Systems,25.36.00 - Integrated Automation Instrumentation and Terminal Devices for Electrical Systems
25.37.00,Integrated Automation Instrumentation and Terminal Devices for Communications Systems,25.37.00 - Integrated Automation Instrumentation and Terminal Devices for Communications Systems
25.38.00,Integrated Automation Instrumentation and Terminal Devices for Electronic Safety and Security Systems,25.38.00 - Integrated Automation Instrumentation and Terminal Devices for Electronic Safety and Security Systems
25.40.00,Unassigned,25.40.00 - Unassigned
25.50.00,Integrated Automation Facility Controls,25.50.00 - Integrated Automation Facility Controls
25.51.00,Integrated Automation Control of Facility Equipment,25.51.00 - Integrated Automation Control of Facility Equipment
25.52.00,Integrated Automation Control of Conveying Equipment,25.52.00 - Integrated Automation Control of Conveying Equipment
25.53.00,Integrated Automation Control of Fire-Suppression Systems,25.53.00 - Integrated Automation Control of Fire-Suppression Systems
25.54.00,Integrated Automation Control of Plumbing,25.54.00 - Integrated Automation Control of Plumbing
25.55.00,Integrated Automation Control of HVAC,25.55.00 - Integrated Automation Control of HVAC
25.56.00,Integrated Automation Control of Electrical Systems,25.56.00 - Integrated Automation Control of Electrical Systems
25.57.00,Integrated Automation Control of Communications Systems,25.57.00 - Integrated Automation Control of Communications Systems
25.58.00,Integrated Automation Control of Electronic Safety and Security Systems,25.58.00 - Integrated Automation Control of Electronic Safety and Security Systems
25.60.00,Unassigned,25.60.00 - Unassigned
25.70.00,Unassigned,25.70.00 - Unassigned
25.80.00,Unassigned,25.80.00 - Unassigned
25.90.00,Integrated Automation Control Sequences,25.90.00 - Integrated Automation Control Sequences
25.91.00,Integrated Automation Control Sequences for Facility Equipment,25.91.00 - Integrated Automation Control Sequences for Facility Equipment
25.92.00,Integrated Automation Control Sequences for Conveying Equipment,25.92.00 - Integrated Automation Control Sequences for Conveying Equipment
25.93.00,Integrated Automation Control Sequences for Fire-Suppression Systems,25.93.00 - Integrated Automation Control Sequences for Fire-Suppression Systems
25.94.00,Integrated Automation Control Sequences for Plumbing,25.94.00 - Integrated Automation Control Sequences for Plumbing
25.95.00,Integrated Automation Control Sequences for HVAC,25.95.00 - Integrated Automation Control Sequences for HVAC
25.96.00,Integrated Automation Control Sequences for Electrical Systems,25.96.00 - Integrated Automation Control Sequences for Electrical Systems
25.97.00,Integrated Automation Control Sequences for Communications Systems,25.97.00 - Integrated Automation Control Sequences for Communications Systems
25.98.00,Integrated Automation Control Sequences for Electronic Safety and Security Systems,25.98.00 - Integrated Automation Control Sequences for Electronic Safety and Security Systems
26.00.00,Electrical,26.00.00 - Electrical
26.01.00,Operation and Maintenance of Electrical Systems,26.01.00 - Operation and Maintenance of Electrical Systems
26.05.00,Common Work Results for Electrical,26.05.00 - Common Work Results for Electrical
26.06.00,Schedules for Electrical,26.06.00 - Schedules for Electrical
26.08.00,Commissioning of Electrical Systems,26.08.00 - Commissioning of Electrical Systems
26.09.00,Instrumentation and Control for Electrical Systems,26.09.00 - Instrumentation and Control for Electrical Systems
26.10.00,Medium-Voltage Electrical Distribution,26.10.00 - Medium-Voltage Electrical Distribution
26.11.00,Substations,26.11.00 - Substations
26.12.00,Medium-Voltage Transformers,26.12.00 - Medium-Voltage Transformers
26.13.00,Medium-Voltage Switchgear,26.13.00 - Medium-Voltage Switchgear
26.18.00,Medium-Voltage Circuit Protection Devices,26.18.00 - Medium-Voltage Circuit Protection Devices
26.20.00,Low-Voltage Electrical Distribution,26.20.00 - Low-Voltage Electrical Distribution
26.21.00,Low-Voltage Overhead Electrical Power Systems,26.21.00 - Low-Voltage Overhead Electrical Power Systems
26.22.00,Low-Voltage Transformers,26.22.00 - Low-Voltage Transformers
26.23.00,Low-Voltage Switchgear,26.23.00 - Low-Voltage Switchgear
26.24.00,Switchboards and Panelboards,26.24.00 - Switchboards and Panelboards
26.25.00,Enclosed Bus Assemblies,26.25.00 - Enclosed Bus Assemblies
26.26.00,Power Distribution Units,26.26.00 - Power Distribution Units
26.27.00,Low-Voltage Distribution Equipment,26.27.00 - Low-Voltage Distribution Equipment
26.28.00,Low-Voltage Circuit Protective Devices,26.28.00 - Low-Voltage Circuit Protective Devices
26.29.00,Low-Voltage Controllers,26.29.00 - Low-Voltage Controllers
26.30.00,Facility Electrical Power Generating and Storing Equipment,26.30.00 - Facility Electrical Power Generating and Storing Equipment
26.31.00,Photovoltaic Collectors,26.31.00 - Photovoltaic Collectors
26.32.00,Packaged Generator Assemblies,26.32.00 - Packaged Generator Assemblies
26.33.00,Battery Equipment,26.33.00 - Battery Equipment
26.35.00,Power Filters and Conditioners,26.35.00 - Power Filters and Conditioners
26.36.00,Transfer Switches,26.36.00 - Transfer Switches
26.40.00,Electrical and Cathodic Protection ,26.40.00 - Electrical and Cathodic Protection 
26.41.00,Facility Lightning Protection,26.41.00 - Facility Lightning Protection
26.42.00,Cathodic Protection,26.42.00 - Cathodic Protection
26.43.00,Transient Voltage Suppression,26.43.00 - Transient Voltage Suppression
26.50.00,Lighting,26.50.00 - Lighting
26.51.00,Interior Lighting,26.51.00 - Interior Lighting
26.52.00,Emergency Lighting,26.52.00 - Emergency Lighting
26.53.00,Exit Signs,26.53.00 - Exit Signs
26.54.00,Classified Location Lighting,26.54.00 - Classified Location Lighting
26.55.00,Special Purpose Lighting,26.55.00 - Special Purpose Lighting
26.56.00,Exterior Lighting,26.56.00 - Exterior Lighting
26.60.00,Unassigned,26.60.00 - Unassigned
26.70.00,Unassigned,26.70.00 - Unassigned
26.80.00,Unassigned,26.80.00 - Unassigned
26.90.00,Unassigned,26.90.00 - Unassigned
27.00.00,Communications,27.00.00 - Communications
27.01.00,Operation and Maintenance of Communications Systems,27.01.00 - Operation and Maintenance of Communications Systems
27.05.00,Common Work Results for Communications,27.05.00 - Common Work Results for Communications
27.06.00,Schedules for Communications,27.06.00 - Schedules for Communications
27.08.00,Commissioning of Communications,27.08.00 - Commissioning of Communications
27.10.00,Structured Cabling,27.10.00 - Structured Cabling
27.11.00,Communications Equipment Room Fittings,27.11.00 - Communications Equipment Room Fittings
27.13.00,Communications Backbone Cabling,27.13.00 - Communications Backbone Cabling
27.15.00,Communications Horizontal Cabling,27.15.00 - Communications Horizontal Cabling
27.15.00.16,Voice Communications Horizontal Cabling,27.15.00.16 - Voice Communications Horizontal Cabling
27.15.00.19,Data Communications Horizontal Cabling,27.15.00.19 - Data Communications Horizontal Cabling
27.15.00.23,Audio-Video Communications Horizontal Cabling,27.15.00.23 - Audio-Video Communications Horizontal Cabling
27.15.00.39,Patient Monitoring and Telemetry Communications Horizontal Cabling,27.15.00.39 - Patient Monitoring and Telemetry Communications Horizontal Cabling
27.15.00.43,Nurse Call and Intercom Communications Horizontal Cabling,27.15.00.43 - Nurse Call and Intercom Communications Horizontal Cabling
27.15.00.46,Paging Communications Horizontal Cabling,27.15.00.46 - Paging Communications Horizontal Cabling
27.15.00.49,Intermediate Frequency/Radio Frequency Communications Horizontal Cabling,27.15.00.49 - Intermediate Frequency/Radio Frequency Communications Horizontal Cabling
27.15.00.53,Antennas Communications Horizontal Cabling,27.15.00.53 - Antennas Communications Horizontal Cabling
27.16.00,"Communications Connecting Cords, Devices and Adapters","27.16.00 - Communications Connecting Cords, Devices and Adapters"
27.20.00,Data Communications,27.20.00 - Data Communications
27.21.00,Data Communications Network Equipment,27.21.00 - Data Communications Network Equipment
27.22.00,Data Communications Hardware,27.22.00 - Data Communications Hardware
27.24.00,Data Communications Peripheral Data Equipment,27.24.00 - Data Communications Peripheral Data Equipment
27.25.00,Data Communications Software,27.25.00 - Data Communications Software
27.26.00,Data Communications Programming and Integration Services,27.26.00 - Data Communications Programming and Integration Services
27.30.00,Voice Communications,27.30.00 - Voice Communications
27.31.00,Voice Communications Switching and Routing Equipment,27.31.00 - Voice Communications Switching and Routing Equipment
27.32.00,"Voice Communications Telephone Sets, Facsimiles and Modems","27.32.00 - Voice Communications Telephone Sets, Facsimiles and Modems"
27.33.00,Voice Communications Messaging,27.33.00 - Voice Communications Messaging
27.34.00,Call Accounting,27.34.00 - Call Accounting
27.35.00,Call Management,27.35.00 - Call Management
27.40.00,Audio-Video Communications,27.40.00 - Audio-Video Communications
27.41.00,Audio-Video Systems,27.41.00 - Audio-Video Systems
27.42.00,Electronic Digital Systems,27.42.00 - Electronic Digital Systems
27.50.00,Distributed Communications and Monitoring Systems,27.50.00 - Distributed Communications and Monitoring Systems
27.51.00,Distributed Audio-Video Communications Systems,27.51.00 - Distributed Audio-Video Communications Systems
27.52.00,Healthcare Communications and Monitoring Systems,27.52.00 - Healthcare Communications and Monitoring Systems
27.53.00,Distributed Systems,27.53.00 - Distributed Systems
27.60.00,Unassigned,27.60.00 - Unassigned
27.70.00,Unassigned,27.70.00 - Unassigned
27.80.00,Unassigned,27.80.00 - Unassigned
27.90.00,Unassigned,27.90.00 - Unassigned
28.00.00,Electronic Safety and Security,28.00.00 - Electronic Safety and Security
28.01.00,Operation and Maintenance of Electronic Safety and Security,28.01.00 - Operation and Maintenance of Electronic Safety and Security
28.05.00,Common Work Results for Electronic Safety and Security,28.05.00 - Common Work Results for Electronic Safety and Security
28.06.00,Schedules for Electronic Safety and Security,28.06.00 - Schedules for Electronic Safety and Security
28.08.00,Commissioning of Electronic Safety and Security,28.08.00 - Commissioning of Electronic Safety and Security
28.10.00,Electronic Access Control and Intrusion Detection,28.10.00 - Electronic Access Control and Intrusion Detection
28.13.00,Access Control,28.13.00 - Access Control
28.16.00,Intrusion Detection,28.16.00 - Intrusion Detection
28.20.00,Electronic Surveillance,28.20.00 - Electronic Surveillance
28.23.00,Video Surveillance,28.23.00 - Video Surveillance
28.26.00,Electronic Personal Protection Systems,28.26.00 - Electronic Personal Protection Systems
28.30.00,Electronic Detection and Alarm,28.30.00 - Electronic Detection and Alarm
28.31.00,Fire Detection and Alarm,28.31.00 - Fire Detection and Alarm
28.32.00,Radiation Detection and Alarm,28.32.00 - Radiation Detection and Alarm
28.33.00,Fuel-Gas Detection and Alarm,28.33.00 - Fuel-Gas Detection and Alarm
28.34.00,Fuel-Oil Detection and Alarm,28.34.00 - Fuel-Oil Detection and Alarm
28.35.00,Refrigerant Detection and Alarm,28.35.00 - Refrigerant Detection and Alarm
28.40.00,Electronic Monitoring and Control,28.40.00 - Electronic Monitoring and Control
28.46.00,Electronic Detention Monitoring and Control Systems,28.46.00 - Electronic Detention Monitoring and Control Systems
28.50.00,Unassigned,28.50.00 - Unassigned
28.60.00,Unassigned,28.60.00 - Unassigned
28.70.00,Unassigned,28.70.00 - Unassigned
28.80.00,Unassigned,28.80.00 - Unassigned
28.90.00,Unassigned,28.90.00 - Unassigned
31.00.00,Earthwork,31.00.00 - Earthwork
31.01.00,Maintenance of Earthwork,31.01.00 - Maintenance of Earthwork
31.05.00,Common Work Results for Earthwork,31.05.00 - Common Work Results for Earthwork
31.06.00,Schedules for Earthwork,31.06.00 - Schedules for Earthwork
31.08.00,Commissioning of Earthwork,31.08.00 - Commissioning of Earthwork
31.09.00,Geotechnical Instrumentation and Monitoring of Earthwork,31.09.00 - Geotechnical Instrumentation and Monitoring of Earthwork
31.10.00,Site Clearing,31.10.00 - Site Clearing
31.11.00,Clearing and Grubbing,31.11.00 - Clearing and Grubbing
31.12.00,Selective Clearing,31.12.00 - Selective Clearing
31.13.00,Selective Tree and Shrub Removal and Trimming,31.13.00 - Selective Tree and Shrub Removal and Trimming
31.14.00,Earth Stripping and Stockpiling,31.14.00 - Earth Stripping and Stockpiling
31.20.00,Earth Moving,31.20.00 - Earth Moving
31.21.00,Off-Gassing Mitigation,31.21.00 - Off-Gassing Mitigation
31.22.00,Grading,31.22.00 - Grading
31.23.00,Excavation and Fill,31.23.00 - Excavation and Fill
31.24.00,Embankments,31.24.00 - Embankments
31.25.00,Erosion and Sedimentation Controls,31.25.00 - Erosion and Sedimentation Controls
31.30.00,Earthwork Methods,31.30.00 - Earthwork Methods
31.31.00,Soil Treatment,31.31.00 - Soil Treatment
31.32.00,Soil Stabilization,31.32.00 - Soil Stabilization
31.33.00,Rock Stabilization,31.33.00 - Rock Stabilization
31.34.00,Soil Reinforcement,31.34.00 - Soil Reinforcement
31.35.00,Slope Protection,31.35.00 - Slope Protection
31.36.00,Gabions,31.36.00 - Gabions
31.37.00,Riprap,31.37.00 - Riprap
31.40.00,Shoring and Underpinning,31.40.00 - Shoring and Underpinning
31.41.00,Shoring,31.41.00 - Shoring
31.43.00,Concrete Raising,31.43.00 - Concrete Raising
31.45.00,Vibroflotation and Densification,31.45.00 - Vibroflotation and Densification
31.46.00,Needle Beams,31.46.00 - Needle Beams
31.48.00,Underpinning,31.48.00 - Underpinning
31.50.00,Excavation Support and Protection,31.50.00 - Excavation Support and Protection
31.51.00,Anchor Tiebacks,31.51.00 - Anchor Tiebacks
31.52.00,Cofferdams,31.52.00 - Cofferdams
31.53.00,Cribbing and Walers,31.53.00 - Cribbing and Walers
31.54.00,Ground Freezing,31.54.00 - Ground Freezing
31.56.00,Slurry Walls,31.56.00 - Slurry Walls
31.60.00,Special Foundations and Load-Bearing Elements,31.60.00 - Special Foundations and Load-Bearing Elements
31.62.00,Driven Piles,31.62.00 - Driven Piles
31.63.00,Bored Piles,31.63.00 - Bored Piles
31.64.00,Caissons,31.64.00 - Caissons
31.66.00,Special Foundations,31.66.00 - Special Foundations
31.68.00,Foundation Anchors,31.68.00 - Foundation Anchors
31.70.00,Tunneling and Mining,31.70.00 - Tunneling and Mining
31.71.00,Tunnel Excavation,31.71.00 - Tunnel Excavation
31.72.00,Tunnel Support Systems,31.72.00 - Tunnel Support Systems
31.73.00,Tunnel Grouting,31.73.00 - Tunnel Grouting
31.74.00,Tunnel Construction,31.74.00 - Tunnel Construction
31.75.00,Shaft Construction,31.75.00 - Shaft Construction
31.77.00,Submersible Tube Tunnels,31.77.00 - Submersible Tube Tunnels
31.80.00,Unassigned,31.80.00 - Unassigned
31.90.00,Unassigned,31.90.00 - Unassigned
32.00.00,Exterior Improvements,32.00.00 - Exterior Improvements
32.01.00,Operation and Maintenance of Exterior Improvements,32.01.00 - Operation and Maintenance of Exterior Improvements
32.05.00,Common Work Results for Exterior Improvements,32.05.00 - Common Work Results for Exterior Improvements
32.06.00,Schedules for Exterior Improvements,32.06.00 - Schedules for Exterior Improvements
32.08.00,Commissioning of Exterior Improvements,32.08.00 - Commissioning of Exterior Improvements
32.10.00,"Bases, Ballasts, and Paving","32.10.00 - Bases, Ballasts, and Paving"
32.11.00,Base Courses,32.11.00 - Base Courses
32.12.00,Flexible Paving,32.12.00 - Flexible Paving
32.13.00,Rigid Paving,32.13.00 - Rigid Paving
32.14.00,Unit Paving,32.14.00 - Unit Paving
32.15.00,Aggregate Surfacing,32.15.00 - Aggregate Surfacing
32.16.00,Curbs and Gutters,32.16.00 - Curbs and Gutters
32.17.00,Paving Specialties,32.17.00 - Paving Specialties
32.18.00,Athletic and Recreational Surfacing,32.18.00 - Athletic and Recreational Surfacing
32.20.00,Unassigned,32.20.00 - Unassigned
32.30.00,Site Improvements,32.30.00 - Site Improvements
32.31.00,Fences and Gates,32.31.00 - Fences and Gates
32.32.00,Retaining Walls,32.32.00 - Retaining Walls
32.34.00,Fabricated Bridges,32.34.00 - Fabricated Bridges
32.35.00,Screening Devices,32.35.00 - Screening Devices
32.40.00,Unassigned,32.40.00 - Unassigned
32.50.00,Unassigned,32.50.00 - Unassigned
32.60.00,Unassigned,32.60.00 - Unassigned
32.70.00,Wetlands,32.70.00 - Wetlands
32.71.00,Constructed Wetlands,32.71.00 - Constructed Wetlands
32.72.00,Wetlands Restoration,32.72.00 - Wetlands Restoration
32.80.00,Irrigation,32.80.00 - Irrigation
32.82.00,Irrigation Pumps,32.82.00 - Irrigation Pumps
32.84.00,Planting Irrigation,32.84.00 - Planting Irrigation
32.86.00,Agricultural Irrigation,32.86.00 - Agricultural Irrigation
32.90.00,Planting,32.90.00 - Planting
32.91.00,Planting Preparation,32.91.00 - Planting Preparation
32.92.00,Turf and Grasses,32.92.00 - Turf and Grasses
32.93.00,Plants,32.93.00 - Plants
32.94.00,Planting Accessories,32.94.00 - Planting Accessories
32.96.00,Transplanting,32.96.00 - Transplanting
33.00.00,Utilities,33.00.00 - Utilities
33.01.00,Operation and Maintenance of Utilities,33.01.00 - Operation and Maintenance of Utilities
33.05.00,Common Work Results for Utilities,33.05.00 - Common Work Results for Utilities
33.06.00,Schedules for Utilities,33.06.00 - Schedules for Utilities
33.08.00,Commissioning of Utilities,33.08.00 - Commissioning of Utilities
33.09.00,Instrumentation and Control for Utilities,33.09.00 - Instrumentation and Control for Utilities
33.10.00,Water Utilities,33.10.00 - Water Utilities
33.11.00,Water Utility Distribution Piping,33.11.00 - Water Utility Distribution Piping
33.12.00,Water Utility Distribution Equipment,33.12.00 - Water Utility Distribution Equipment
33.13.00,Disinfecting of Water Utility Distribution,33.13.00 - Disinfecting of Water Utility Distribution
33.16.00,Water Utility Storage Tanks,33.16.00 - Water Utility Storage Tanks
33.20.00,Wells,33.20.00 - Wells
33.21.00,Water Supply Wells,33.21.00 - Water Supply Wells
33.22.00,Test Wells,33.22.00 - Test Wells
33.23.00,Extraction Wells,33.23.00 - Extraction Wells
33.24.00,Monitoring Wells,33.24.00 - Monitoring Wells
33.25.00,Recharge Wells,33.25.00 - Recharge Wells
33.26.00,Relief Wells,33.26.00 - Relief Wells
33.29.00,Well Abandonment,33.29.00 - Well Abandonment
33.30.00,Sanitary Sewerage Utilities,33.30.00 - Sanitary Sewerage Utilities
33.31.00,Sanitary Utility Sewerage Piping,33.31.00 - Sanitary Utility Sewerage Piping
33.32.00,Wastewater Utility Pumping Stations,33.32.00 - Wastewater Utility Pumping Stations
33.33.00,Low Pressure Utility Sewerage,33.33.00 - Low Pressure Utility Sewerage
33.34.00,Sanitary Utility Sewerage Force Mains,33.34.00 - Sanitary Utility Sewerage Force Mains
33.36.00,Utility Septic Tanks,33.36.00 - Utility Septic Tanks
33.39.00,Sanitary Utility Sewerage Structures,33.39.00 - Sanitary Utility Sewerage Structures
33.40.00,Storm Drainage Utilities,33.40.00 - Storm Drainage Utilities
33.41.00,Storm Utility Drainage Piping,33.41.00 - Storm Utility Drainage Piping
33.42.00,Culverts,33.42.00 - Culverts
33.44.00,Storm Utility Water Drains,33.44.00 - Storm Utility Water Drains
33.45.00,Storm Utility Drainage Pumps,33.45.00 - Storm Utility Drainage Pumps
33.46.00,Subdrainage,33.46.00 - Subdrainage
33.47.00,Ponds and Reservoirs,33.47.00 - Ponds and Reservoirs
33.49.00,Storm Drainage Structures,33.49.00 - Storm Drainage Structures
33.50.00,Fuel Distribution Utilities,33.50.00 - Fuel Distribution Utilities
33.51.00,Natural-Gas Distribution,33.51.00 - Natural-Gas Distribution
33.52.00,Liquid Fuel Distribution,33.52.00 - Liquid Fuel Distribution
33.56.00,Fuel-Storage Tanks,33.56.00 - Fuel-Storage Tanks
33.60.00,Hydronic and Steam Energy Utilities,33.60.00 - Hydronic and Steam Energy Utilities
33.61.00,Hydronic Energy Distribution,33.61.00 - Hydronic Energy Distribution
33.63.00,Steam Energy Distribution,33.63.00 - Steam Energy Distribution
33.70.00,Electrical Utilities,33.70.00 - Electrical Utilities
33.71.00,Electrical Utility Transmission and Distribution,33.71.00 - Electrical Utility Transmission and Distribution
33.72.00,Utility Substations,33.72.00 - Utility Substations
33.73.00,Utility Transformers,33.73.00 - Utility Transformers
33.75.00,High-Voltage Switchgear and Protection Devices,33.75.00 - High-Voltage Switchgear and Protection Devices
33.77.00,Medium-Voltage Utility Switchgear and Protection Devices,33.77.00 - Medium-Voltage Utility Switchgear and Protection Devices
33.79.00,Site Grounding,33.79.00 - Site Grounding
33.80.00,Communications Utilities,33.80.00 - Communications Utilities
33.81.00,Communications Structures,33.81.00 - Communications Structures
33.82.00,Communications Distribution,33.82.00 - Communications Distribution
33.83.00,Wireless Communications Distribution,33.83.00 - Wireless Communications Distribution
33.90.00,Unassigned,33.90.00 - Unassigned
34.00.00,Transportation,34.00.00 - Transportation
34.01.00,Operation and Maintenance of Transportation,34.01.00 - Operation and Maintenance of Transportation
34.05.00,Common Work Results for Transportation,34.05.00 - Common Work Results for Transportation
34.06.00,Schedules for Transportation,34.06.00 - Schedules for Transportation
34.08.00,Commissioning of Transportation,34.08.00 - Commissioning of Transportation
34.10.00,Guideways/Railways,34.10.00 - Guideways/Railways
34.11.00,Rail Tracks,34.11.00 - Rail Tracks
34.12.00,Monorails,34.12.00 - Monorails
34.13.00,Funiculars,34.13.00 - Funiculars
34.14.00,Cable Transportation,34.14.00 - Cable Transportation
34.20.00,Traction Power,34.20.00 - Traction Power
34.21.00,Traction Power Distribution,34.21.00 - Traction Power Distribution
34.23.00,Overhead Traction Power,34.23.00 - Overhead Traction Power
34.24.00,Third Rail Traction Power,34.24.00 - Third Rail Traction Power
34.30.00,Unassigned,34.30.00 - Unassigned
34.40.00,Transportation Signaling and Control Equipment,34.40.00 - Transportation Signaling and Control Equipment
34.41.00,Roadway Signaling and Control Equipment,34.41.00 - Roadway Signaling and Control Equipment
34.42.00,Railway Signaling and Control Equipment,34.42.00 - Railway Signaling and Control Equipment
34.43.00,Airfield Signaling and Control Equipment,34.43.00 - Airfield Signaling and Control Equipment
34.48.00,Bridge Signaling and Control Equipment,34.48.00 - Bridge Signaling and Control Equipment
34.50.00,Transportation Fare Collection Equipment,34.50.00 - Transportation Fare Collection Equipment
34.52.00,Vehicle Fare Collection,34.52.00 - Vehicle Fare Collection
34.54.00,Passenger Fare Collection,34.54.00 - Passenger Fare Collection
34.60.00,Unassigned,34.60.00 - Unassigned
34.70.00,Transportation Construction and Equipment,34.70.00 - Transportation Construction and Equipment
34.71.00,Roadway Construction,34.71.00 - Roadway Construction
34.72.00,Railway Construction,34.72.00 - Railway Construction
34.73.00,Airfield Construction,34.73.00 - Airfield Construction
34.75.00,Roadway Equipment,34.75.00 - Roadway Equipment
34.76.00,Railway Equipment,34.76.00 - Railway Equipment
34.77.00,Transportation Equipment,34.77.00 - Transportation Equipment
34.80.00,bridges,34.80.00 - bridges
34.81.00,Bridge Machinery,34.81.00 - Bridge Machinery
34.82.00,Bridge Specialties,34.82.00 - Bridge Specialties
34.90.00,Unassigned,34.90.00 - Unassigned
35.00.00,Waterway and Marine Construction,35.00.00 - Waterway and Marine Construction
35.01.00,Operation and Maintenance of Waterway and Marine Construction,35.01.00 - Operation and Maintenance of Waterway and Marine Construction
35.05.00,Common Work Results for Waterway and Marine Construction,35.05.00 - Common Work Results for Waterway and Marine Construction
35.06.00,Schedules for Waterway and Marine Construction,35.06.00 - Schedules for Waterway and Marine Construction
35.08.00,Commissioning of Waterway and Marine Construction,35.08.00 - Commissioning of Waterway and Marine Construction
35.10.00,Waterway and Marine Signaling and Control Equipment,35.10.00 - Waterway and Marine Signaling and Control Equipment
35.11.00,Signaling and Control Equipment for Waterways,35.11.00 - Signaling and Control Equipment for Waterways
35.12.00,Marine Signaling and Control Equipment,35.12.00 - Marine Signaling and Control Equipment
35.13.00,Signaling and Control Equipment for Dams,35.13.00 - Signaling and Control Equipment for Dams
